2021 NSS results split by teaching provider,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size
10002852,Halesowen College,Q22,6%,0%,29%,39%,26%,1,45%,65%,80%,31,47
10002852,Halesowen College,Scale07,6%,5%,33%,34%,22%,1,38%,56%,73%,32,47
10002852,Halesowen College,Q23,6%,3%,22%,41%,28%,0,50%,69%,83%,32,47
10002852,Halesowen College,Q24,6%,3%,29%,29%,32%,1,42%,61%,78%,31,47
10002852,Halesowen College,Q25,7%,3%,40%,33%,17%,2,32%,50%,68%,30,47
10002852,Halesowen College,Scale08,6%,3%,30%,35%,25%,3,42%,60%,77%,32,47
10002852,Halesowen College,Q26,3%,0%,34%,41%,21%,3,42%,62%,79%,29,47
10002852,Halesowen College,Q27,9%,0%,22%,47%,22%,0,50%,69%,83%,32,47
10002869,Hammond School Limited (The),Q01,0%,11%,5%,47%,37%,0,60%,84%,95%,19,26
10002869,Hammond School Limited (The),Q02,0%,0%,0%,42%,58%,0,80%,100%,100%,19,26
10002869,Hammond School Limited (The),Q03,0%,0%,21%,37%,42%,0,54%,79%,92%,19,26
10002869,Hammond School Limited (The),Q04,0%,5%,16%,26%,53%,0,54%,79%,92%,19,26
10002869,Hammond School Limited (The),Scale01,0%,4%,11%,38%,47%,0,61%,86%,96%,19,26
10002869,Hammond School Limited (The),Q05,0%,0%,11%,42%,47%,0,66%,89%,97%,19,26
10002869,Hammond School Limited (The),Q06,0%,11%,5%,37%,47%,0,60%,84%,95%,19,26
10002869,Hammond School Limited (The),Q07,0%,11%,16%,32%,42%,0,49%,74%,89%,19,26
10002869,Hammond School Limited (The),Scale02,0%,7%,11%,37%,46%,0,58%,82%,94%,19,26
10002869,Hammond School Limited (The),Q08,0%,0%,16%,47%,37%,0,60%,84%,95%,19,26
10002869,Hammond School Limited (The),Q09,0%,5%,21%,26%,47%,0,49%,74%,89%,19,26
10002869,Hammond School Limited (The),Q10,0%,5%,0%,32%,63%,0,73%,95%,99%,19,26
10002869,Hammond School Limited (The),Q11,0%,0%,5%,42%,53%,0,73%,95%,99%,19,26
10002869,Hammond School Limited (The),Scale03,0%,3%,11%,37%,50%,0,63%,87%,96%,19,26
10002869,Hammond School Limited (The),Q12,0%,0%,16%,37%,47%,0,60%,84%,95%,19,26
10002869,Hammond School Limited (The),Q13,0%,11%,5%,37%,47%,0,60%,84%,95%,19,26
10002869,Hammond School Limited (The),Q14,0%,0%,12%,35%,53%,2,63%,88%,97%,17,26
10002869,Hammond School Limited (The),Scale04,0%,4%,11%,35%,51%,2,62%,86%,96%,19,26
10002869,Hammond School Limited (The),Q15,5%,42%,26%,21%,5%,0,11%,26%,51%,19,26
10002869,Hammond School Limited (The),Q16,11%,11%,42%,32%,5%,0,18%,37%,61%,19,26
10002869,Hammond School Limited (The),Q17,16%,47%,16%,16%,5%,0,8%,21%,46%,19,26
10002869,Hammond School Limited (The),Scale05,11%,33%,28%,23%,5%,0,12%,28%,53%,19,26
10002869,Hammond School Limited (The),Q18,0%,11%,26%,37%,26%,0,39%,63%,82%,19,26
10002869,Hammond School Limited (The),Q19,0%,5%,32%,42%,21%,0,39%,63%,82%,19,26
10002869,Hammond School Limited (The),Q20,0%,11%,26%,37%,26%,0,39%,63%,82%,19,26
10002869,Hammond School Limited (The),Scale06,0%,9%,28%,39%,25%,0,39%,63%,82%,19,26
10002869,Hammond School Limited (The),Q21,0%,0%,16%,42%,42%,0,60%,84%,95%,19,26
10002869,Hammond School Limited (The),Q22,0%,0%,6%,22%,72%,1,71%,94%,99%,18,26
10002869,Hammond School Limited (The),Scale07,0%,0%,11%,34%,55%,1,66%,89%,97%,19,26
10002869,Hammond School Limited (The),Q23,0%,0%,6%,39%,56%,1,71%,94%,99%,18,26
10002869,Hammond School Limited (The),Q24,0%,0%,22%,44%,33%,1,52%,78%,92%,18,26
10002869,Hammond School Limited (The),Q25,0%,0%,22%,61%,17%,1,52%,78%,92%,18,26
10002869,Hammond School Limited (The),Scale08,0%,0%,17%,48%,35%,3,58%,83%,95%,18,26
10002869,Hammond School Limited (The),Q26,0%,7%,36%,29%,29%,5,30%,57%,80%,14,26
10002869,Hammond School Limited (The),Q27,0%,6%,39%,39%,17%,1,32%,56%,77%,18,26
10040812,Harper Adams University,Q01,1%,3%,6%,64%,26%,0,86%,90%,92%,472,544
10040812,Harper Adams University,Q02,2%,4%,10%,59%,25%,1,81%,85%,88%,471,544
10040812,Harper Adams University,Q03,2%,4%,10%,43%,41%,0,80%,84%,88%,472,544
10040812,Harper Adams University,Q04,2%,6%,11%,47%,34%,0,77%,81%,85%,472,544
10040812,Harper Adams University,Scale01,2%,4%,9%,53%,32%,1,81%,85%,88%,472,544
10040812,Harper Adams University,Q05,1%,5%,10%,44%,41%,0,81%,85%,88%,472,544
10040812,Harper Adams University,Q06,1%,4%,10%,43%,42%,0,81%,85%,88%,472,544
10040812,Harper Adams University,Q07,2%,6%,10%,38%,45%,2,79%,83%,86%,470,544
10040812,Harper Adams University,Scale02,1%,5%,10%,42%,42%,2,80%,84%,87%,472,544
10040812,Harper Adams University,Q08,5%,8%,14%,48%,25%,0,68%,73%,77%,472,544
10040812,Harper Adams University,Q09,3%,9%,18%,51%,19%,0,65%,70%,74%,472,544
10040812,Harper Adams University,Q10,8%,16%,19%,43%,15%,0,52%,57%,62%,472,544
10040812,Harper Adams University,Q11,4%,11%,17%,49%,19%,0,63%,68%,72%,472,544
10040812,Harper Adams University,Scale03,5%,11%,17%,48%,19%,0,62%,67%,72%,472,544
10040812,Harper Adams University,Q12,1%,5%,7%,41%,46%,0,83%,87%,90%,472,544
10040812,Harper Adams University,Q13,3%,6%,11%,48%,32%,3,75%,80%,83%,469,544
10040812,Harper Adams University,Q14,2%,7%,14%,43%,34%,17,73%,77%,81%,455,544
10040812,Harper Adams University,Scale04,2%,6%,11%,44%,38%,20,77%,81%,85%,472,544
10040812,Harper Adams University,Q15,4%,7%,17%,48%,24%,0,67%,72%,76%,472,544
10040812,Harper Adams University,Q16,3%,6%,14%,37%,40%,4,73%,77%,81%,468,544
10040812,Harper Adams University,Q17,3%,8%,13%,45%,31%,2,71%,76%,80%,470,544
10040812,Harper Adams University,Scale05,3%,7%,14%,43%,32%,6,70%,75%,79%,472,544
10040812,Harper Adams University,Q18,3%,8%,15%,40%,34%,5,69%,74%,78%,467,544
10040812,Harper Adams University,Q19,5%,10%,12%,40%,33%,6,69%,73%,78%,466,544
10040812,Harper Adams University,Q20,6%,8%,13%,41%,32%,6,69%,73%,77%,466,544
10040812,Harper Adams University,Scale06,5%,9%,13%,41%,33%,17,69%,73%,78%,472,544
10040812,Harper Adams University,Q21,4%,8%,13%,34%,42%,0,72%,76%,80%,472,544
10040812,Harper Adams University,Q22,2%,3%,10%,42%,43%,5,81%,85%,88%,467,544
10040812,Harper Adams University,Scale07,3%,6%,11%,38%,43%,5,76%,80%,84%,472,544
10040812,Harper Adams University,Q23,3%,6%,11%,43%,37%,2,75%,80%,83%,470,544
10040812,Harper Adams University,Q24,4%,8%,11%,39%,38%,2,72%,77%,81%,470,544
10040812,Harper Adams University,Q25,5%,9%,24%,38%,24%,6,57%,62%,66%,466,544
10040812,Harper Adams University,Scale08,4%,8%,15%,40%,33%,10,68%,73%,77%,471,544
10040812,Harper Adams University,Q26,10%,17%,21%,35%,17%,10,47%,52%,57%,462,544
10040812,Harper Adams University,Q27,3%,6%,6%,41%,44%,3,80%,84%,88%,469,544
10002917,Hartlepool College of Further Education,Q01,0%,3%,9%,33%,55%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q02,3%,3%,6%,39%,48%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q03,3%,0%,12%,52%,33%,0,67%,85%,94%,33,57
10002917,Hartlepool College of Further Education,Q04,0%,0%,9%,24%,67%,0,74%,91%,97%,33,57
10002917,Hartlepool College of Further Education,Scale01,2%,2%,9%,37%,51%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q05,3%,9%,3%,45%,39%,0,67%,85%,94%,33,57
10002917,Hartlepool College of Further Education,Q06,3%,6%,0%,45%,45%,0,74%,91%,97%,33,57
10002917,Hartlepool College of Further Education,Q07,3%,3%,12%,27%,55%,0,64%,82%,92%,33,57
10002917,Hartlepool College of Further Education,Scale02,3%,6%,5%,39%,46%,0,68%,86%,94%,33,57
10002917,Hartlepool College of Further Education,Q08,0%,6%,6%,48%,39%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q09,0%,3%,9%,27%,61%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q10,0%,6%,12%,33%,48%,0,64%,82%,92%,33,57
10002917,Hartlepool College of Further Education,Q11,0%,3%,12%,33%,52%,0,67%,85%,94%,33,57
10002917,Hartlepool College of Further Education,Scale03,0%,5%,10%,36%,50%,0,68%,86%,94%,33,57
10002917,Hartlepool College of Further Education,Q12,0%,3%,0%,39%,58%,0,83%,97%,100%,33,57
10002917,Hartlepool College of Further Education,Q13,0%,3%,12%,33%,52%,0,67%,85%,94%,33,57
10002917,Hartlepool College of Further Education,Q14,0%,9%,6%,42%,42%,0,67%,85%,94%,33,57
10002917,Hartlepool College of Further Education,Scale04,0%,5%,6%,38%,51%,0,72%,89%,96%,33,57
10002917,Hartlepool College of Further Education,Q15,3%,15%,3%,36%,42%,0,60%,79%,90%,33,57
10002917,Hartlepool College of Further Education,Q16,0%,0%,6%,39%,55%,0,78%,94%,99%,33,57
10002917,Hartlepool College of Further Education,Q17,0%,3%,6%,36%,55%,0,74%,91%,97%,33,57
10002917,Hartlepool College of Further Education,Scale05,1%,6%,5%,37%,51%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q18,3%,9%,18%,33%,36%,0,51%,70%,84%,33,57
10002917,Hartlepool College of Further Education,Q19,6%,15%,9%,30%,39%,0,51%,70%,84%,33,57
10002917,Hartlepool College of Further Education,Q20,3%,13%,16%,41%,28%,1,50%,69%,83%,32,57
10002917,Hartlepool College of Further Education,Scale06,4%,12%,14%,35%,34%,1,51%,70%,84%,33,57
10002917,Hartlepool College of Further Education,Q21,3%,3%,6%,41%,47%,1,70%,88%,95%,32,57
10002917,Hartlepool College of Further Education,Q22,3%,6%,3%,48%,39%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Scale07,3%,5%,5%,45%,42%,1,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q23,3%,3%,18%,45%,30%,0,57%,76%,88%,33,57
10002917,Hartlepool College of Further Education,Q24,0%,3%,9%,30%,58%,0,71%,88%,96%,33,57
10002917,Hartlepool College of Further Education,Q25,0%,6%,16%,44%,34%,1,59%,78%,90%,32,57
10002917,Hartlepool College of Further Education,Scale08,2%,4%,15%,39%,40%,1,61%,80%,91%,33,57
10002917,Hartlepool College of Further Education,Q26,4%,0%,21%,39%,36%,5,55%,75%,88%,28,57
10002917,Hartlepool College of Further Education,Q27,3%,6%,9%,28%,53%,1,63%,81%,92%,32,57
10080811,Hartpury University,Q01,2%,4%,6%,65%,24%,0,85%,89%,92%,378,459
10080811,Hartpury University,Q02,1%,7%,11%,56%,25%,0,77%,81%,85%,378,459
10080811,Hartpury University,Q03,1%,7%,13%,46%,33%,1,74%,79%,83%,377,459
10080811,Hartpury University,Q04,2%,7%,13%,45%,34%,0,73%,78%,83%,378,459
10080811,Hartpury University,Scale01,1%,6%,11%,53%,29%,1,77%,82%,86%,378,459
10080811,Hartpury University,Q05,2%,7%,15%,46%,30%,0,71%,76%,81%,378,459
10080811,Hartpury University,Q06,0%,5%,13%,48%,33%,0,76%,81%,85%,378,459
10080811,Hartpury University,Q07,1%,7%,15%,39%,37%,0,71%,76%,81%,378,459
10080811,Hartpury University,Scale02,1%,7%,14%,44%,34%,0,73%,78%,82%,378,459
10080811,Hartpury University,Q08,3%,6%,15%,46%,30%,1,71%,76%,81%,377,459
10080811,Hartpury University,Q09,4%,7%,18%,47%,24%,1,66%,71%,76%,377,459
10080811,Hartpury University,Q10,2%,5%,14%,47%,32%,1,74%,79%,83%,377,459
10080811,Hartpury University,Q11,2%,8%,15%,51%,25%,0,71%,76%,80%,378,459
10080811,Hartpury University,Scale03,3%,6%,15%,48%,28%,3,70%,75%,80%,378,459
10080811,Hartpury University,Q12,2%,7%,11%,39%,40%,0,75%,80%,84%,378,459
10080811,Hartpury University,Q13,2%,7%,15%,44%,32%,0,71%,76%,81%,378,459
10080811,Hartpury University,Q14,3%,5%,14%,43%,34%,5,72%,77%,82%,373,459
10080811,Hartpury University,Scale04,3%,6%,13%,42%,36%,5,73%,78%,82%,378,459
10080811,Hartpury University,Q15,4%,10%,17%,48%,21%,1,64%,69%,74%,377,459
10080811,Hartpury University,Q16,4%,7%,11%,47%,32%,0,74%,79%,83%,378,459
10080811,Hartpury University,Q17,3%,9%,16%,40%,31%,0,66%,71%,76%,378,459
10080811,Hartpury University,Scale05,4%,9%,15%,45%,28%,1,68%,73%,78%,378,459
10080811,Hartpury University,Q18,4%,6%,22%,38%,29%,0,62%,67%,72%,378,459
10080811,Hartpury University,Q19,3%,6%,16%,37%,38%,6,69%,74%,79%,372,459
10080811,Hartpury University,Q20,3%,7%,16%,43%,31%,6,69%,74%,79%,372,459
10080811,Hartpury University,Scale06,4%,7%,18%,39%,33%,12,66%,72%,76%,378,459
10080811,Hartpury University,Q21,7%,9%,17%,38%,30%,0,62%,67%,72%,378,459
10080811,Hartpury University,Q22,2%,5%,14%,42%,37%,3,74%,79%,83%,375,459
10080811,Hartpury University,Scale07,4%,7%,16%,40%,33%,3,68%,73%,78%,378,459
10080811,Hartpury University,Q23,2%,5%,10%,45%,38%,1,79%,84%,87%,377,459
10080811,Hartpury University,Q24,2%,6%,14%,41%,37%,3,73%,78%,82%,375,459
10080811,Hartpury University,Q25,5%,12%,26%,39%,18%,4,52%,57%,63%,374,459
10080811,Hartpury University,Scale08,3%,7%,17%,42%,31%,8,68%,73%,78%,377,459
10080811,Hartpury University,Q26,4%,10%,31%,33%,23%,9,50%,55%,61%,369,459
10080811,Hartpury University,Q27,4%,8%,8%,45%,35%,3,75%,80%,84%,375,459
10005979,Havant and South Downs College,Q01,7%,4%,7%,25%,57%,0,62%,82%,93%,28,47
10005979,Havant and South Downs College,Q02,4%,7%,11%,29%,50%,0,58%,79%,91%,28,47
10005979,Havant and South Downs College,Q03,7%,4%,4%,32%,54%,0,66%,86%,95%,28,47
10005979,Havant and South Downs College,Q04,7%,0%,21%,21%,50%,0,51%,71%,86%,28,47
10005979,Havant and South Downs College,Scale01,6%,4%,11%,27%,53%,0,59%,79%,91%,28,47
10005979,Havant and South Downs College,Q05,4%,4%,14%,21%,57%,0,58%,79%,91%,28,47
10005979,Havant and South Downs College,Q06,0%,4%,14%,21%,61%,0,62%,82%,93%,28,47
10005979,Havant and South Downs College,Q07,4%,4%,7%,32%,54%,0,66%,86%,95%,28,47
10005979,Havant and South Downs College,Scale02,2%,4%,12%,25%,57%,0,62%,82%,93%,28,47
10005979,Havant and South Downs College,Q08,7%,4%,11%,32%,46%,0,58%,79%,91%,28,47
10005979,Havant and South Downs College,Q09,4%,0%,14%,36%,46%,0,62%,82%,93%,28,47
10005979,Havant and South Downs College,Q10,7%,7%,14%,21%,50%,0,51%,71%,86%,28,47
10005979,Havant and South Downs College,Q11,7%,4%,7%,21%,61%,0,62%,82%,93%,28,47
10005979,Havant and South Downs College,Scale03,6%,4%,12%,28%,51%,0,58%,79%,91%,28,47
10005979,Havant and South Downs College,Q12,4%,7%,14%,11%,64%,0,55%,75%,88%,28,47
10005979,Havant and South Downs College,Q13,11%,7%,4%,25%,54%,0,58%,79%,91%,28,47
10005979,Havant and South Downs College,Q14,7%,0%,4%,25%,64%,0,71%,89%,97%,28,47
10005979,Havant and South Downs College,Scale04,7%,5%,7%,20%,61%,0,61%,81%,92%,28,47
10005979,Havant and South Downs College,Q15,18%,7%,7%,32%,36%,0,47%,68%,83%,28,47
10005979,Havant and South Downs College,Q16,0%,0%,0%,43%,57%,0,86%,100%,100%,28,47
10005979,Havant and South Downs College,Q17,0%,7%,7%,36%,50%,0,66%,86%,95%,28,47
10005979,Havant and South Downs College,Scale05,6%,5%,5%,37%,48%,0,65%,85%,94%,28,47
10005979,Havant and South Downs College,Q18,11%,11%,19%,26%,33%,1,39%,59%,77%,27,47
10005979,Havant and South Downs College,Q19,19%,4%,15%,26%,37%,1,42%,63%,80%,27,47
10005979,Havant and South Downs College,Q20,11%,11%,11%,33%,33%,1,46%,67%,83%,27,47
10005979,Havant and South Downs College,Scale06,13%,8%,15%,30%,34%,3,43%,64%,80%,28,47
10005979,Havant and South Downs College,Q21,19%,0%,15%,15%,52%,1,46%,67%,83%,27,47
10005979,Havant and South Downs College,Q22,11%,4%,4%,30%,52%,1,61%,81%,92%,27,47
10005979,Havant and South Downs College,Scale07,16%,2%,9%,21%,52%,2,53%,73%,87%,28,47
10005979,Havant and South Downs College,Q23,11%,7%,11%,19%,52%,1,49%,70%,85%,27,47
10005979,Havant and South Downs College,Q24,7%,14%,7%,25%,46%,0,51%,71%,86%,28,47
10005979,Havant and South Downs College,Q25,11%,4%,33%,30%,22%,1,32%,52%,71%,27,47
10005979,Havant and South Downs College,Scale08,10%,8%,17%,24%,42%,2,45%,65%,81%,28,47
10005979,Havant and South Downs College,Q26,10%,10%,38%,19%,24%,7,23%,43%,65%,21,47
10005979,Havant and South Downs College,Q27,7%,7%,7%,36%,43%,0,58%,79%,91%,28,47
10007977,Heart of Worcestershire College,Q01,2%,2%,6%,54%,37%,0,79%,90%,96%,63,73
10007977,Heart of Worcestershire College,Q02,2%,0%,17%,43%,38%,0,68%,81%,89%,63,73
10007977,Heart of Worcestershire College,Q03,2%,3%,10%,41%,44%,0,74%,86%,93%,63,73
10007977,Heart of Worcestershire College,Q04,3%,3%,16%,30%,48%,0,65%,78%,87%,63,73
10007977,Heart of Worcestershire College,Scale01,2%,2%,12%,42%,42%,0,71%,84%,91%,63,73
10007977,Heart of Worcestershire College,Q05,2%,5%,10%,38%,46%,0,72%,84%,92%,63,73
10007977,Heart of Worcestershire College,Q06,2%,2%,13%,44%,40%,0,72%,84%,92%,63,73
10007977,Heart of Worcestershire College,Q07,2%,2%,13%,37%,48%,0,72%,84%,92%,63,73
10007977,Heart of Worcestershire College,Scale02,2%,3%,12%,40%,44%,0,72%,84%,92%,63,73
10007977,Heart of Worcestershire College,Q08,3%,3%,8%,38%,48%,0,74%,86%,93%,63,73
10007977,Heart of Worcestershire College,Q09,5%,2%,13%,33%,48%,0,68%,81%,89%,63,73
10007977,Heart of Worcestershire College,Q10,2%,5%,14%,38%,41%,0,66%,79%,88%,63,73
10007977,Heart of Worcestershire College,Q11,0%,6%,16%,38%,40%,0,65%,78%,87%,63,73
10007977,Heart of Worcestershire College,Scale03,2%,4%,13%,37%,44%,0,68%,81%,89%,63,73
10007977,Heart of Worcestershire College,Q12,0%,3%,5%,44%,48%,1,81%,92%,97%,62,73
10007977,Heart of Worcestershire College,Q13,2%,5%,13%,35%,46%,0,68%,81%,89%,63,73
10007977,Heart of Worcestershire College,Q14,2%,5%,13%,37%,44%,1,68%,81%,89%,62,73
10007977,Heart of Worcestershire College,Scale04,1%,4%,10%,39%,46%,2,72%,84%,92%,63,73
10007977,Heart of Worcestershire College,Q15,6%,6%,16%,43%,29%,0,58%,71%,82%,63,73
10007977,Heart of Worcestershire College,Q16,2%,6%,8%,32%,52%,0,72%,84%,92%,63,73
10007977,Heart of Worcestershire College,Q17,3%,8%,11%,40%,38%,0,65%,78%,87%,63,73
10007977,Heart of Worcestershire College,Scale05,4%,7%,12%,38%,40%,0,65%,78%,87%,63,73
10007977,Heart of Worcestershire College,Q18,5%,2%,19%,39%,35%,1,61%,74%,84%,62,73
10007977,Heart of Worcestershire College,Q19,5%,2%,21%,43%,30%,2,58%,72%,83%,61,73
10007977,Heart of Worcestershire College,Q20,2%,8%,10%,53%,27%,3,67%,80%,89%,60,73
10007977,Heart of Worcestershire College,Scale06,5%,4%,18%,43%,30%,6,60%,73%,83%,63,73
10007977,Heart of Worcestershire College,Q21,5%,5%,24%,30%,37%,0,53%,67%,78%,63,73
10007977,Heart of Worcestershire College,Q22,2%,6%,18%,35%,39%,1,61%,74%,84%,62,73
10007977,Heart of Worcestershire College,Scale07,3%,6%,21%,33%,37%,1,56%,70%,81%,63,73
10007977,Heart of Worcestershire College,Q23,2%,3%,10%,41%,44%,0,74%,86%,93%,63,73
10007977,Heart of Worcestershire College,Q24,3%,5%,16%,30%,46%,0,63%,76%,86%,63,73
10007977,Heart of Worcestershire College,Q25,6%,6%,16%,40%,32%,0,58%,71%,82%,63,73
10007977,Heart of Worcestershire College,Scale08,4%,5%,14%,37%,41%,0,65%,78%,87%,63,73
10007977,Heart of Worcestershire College,Q26,0%,5%,30%,41%,24%,0,51%,65%,77%,63,73
10007977,Heart of Worcestershire College,Q27,6%,6%,11%,37%,40%,0,63%,76%,86%,63,73
10003022,Hereford College of Arts,Q01,4%,5%,4%,45%,41%,0,76%,87%,93%,75,91
10003022,Hereford College of Arts,Q02,1%,7%,5%,35%,52%,0,76%,87%,93%,75,91
10003022,Hereford College of Arts,Q03,3%,3%,12%,37%,45%,0,71%,83%,90%,75,91
10003022,Hereford College of Arts,Q04,4%,5%,8%,28%,55%,0,71%,83%,90%,75,91
10003022,Hereford College of Arts,Scale01,3%,5%,7%,36%,48%,0,74%,85%,92%,75,91
10003022,Hereford College of Arts,Q05,1%,7%,4%,39%,49%,0,78%,88%,94%,75,91
10003022,Hereford College of Arts,Q06,3%,3%,12%,32%,51%,0,71%,83%,90%,75,91
10003022,Hereford College of Arts,Q07,3%,5%,11%,32%,49%,0,70%,81%,89%,75,91
10003022,Hereford College of Arts,Scale02,2%,5%,9%,34%,50%,0,73%,84%,91%,75,91
10003022,Hereford College of Arts,Q08,4%,5%,12%,40%,39%,0,67%,79%,87%,75,91
10003022,Hereford College of Arts,Q09,5%,4%,8%,33%,49%,0,71%,83%,90%,75,91
10003022,Hereford College of Arts,Q10,3%,3%,11%,29%,55%,0,73%,84%,91%,75,91
10003022,Hereford College of Arts,Q11,4%,7%,5%,24%,60%,0,73%,84%,91%,75,91
10003022,Hereford College of Arts,Scale03,4%,5%,9%,32%,51%,0,71%,82%,90%,75,91
10003022,Hereford College of Arts,Q12,3%,9%,4%,31%,53%,0,73%,84%,91%,75,91
10003022,Hereford College of Arts,Q13,4%,7%,7%,43%,40%,0,71%,83%,90%,75,91
10003022,Hereford College of Arts,Q14,3%,7%,10%,41%,40%,2,69%,81%,89%,73,91
10003022,Hereford College of Arts,Scale04,3%,8%,7%,38%,44%,2,71%,83%,90%,75,91
10003022,Hereford College of Arts,Q15,4%,11%,16%,41%,28%,0,57%,69%,79%,75,91
10003022,Hereford College of Arts,Q16,4%,4%,14%,39%,39%,1,66%,78%,87%,74,91
10003022,Hereford College of Arts,Q17,3%,12%,15%,43%,28%,0,58%,71%,81%,75,91
10003022,Hereford College of Arts,Scale05,4%,9%,15%,41%,32%,1,61%,73%,82%,75,91
10003022,Hereford College of Arts,Q18,4%,8%,11%,34%,43%,1,65%,77%,86%,74,91
10003022,Hereford College of Arts,Q19,1%,4%,4%,35%,55%,1,81%,91%,96%,74,91
10003022,Hereford College of Arts,Q20,3%,9%,9%,36%,43%,0,67%,79%,87%,75,91
10003022,Hereford College of Arts,Scale06,3%,7%,8%,35%,47%,2,71%,82%,90%,75,91
10003022,Hereford College of Arts,Q21,7%,4%,12%,25%,52%,0,65%,77%,86%,75,91
10003022,Hereford College of Arts,Q22,7%,8%,9%,33%,43%,0,64%,76%,85%,75,91
10003022,Hereford College of Arts,Scale07,7%,6%,11%,29%,47%,0,65%,77%,85%,75,91
10003022,Hereford College of Arts,Q23,4%,3%,12%,45%,36%,0,70%,81%,89%,75,91
10003022,Hereford College of Arts,Q24,4%,4%,15%,25%,52%,0,65%,77%,86%,75,91
10003022,Hereford College of Arts,Q25,4%,7%,22%,39%,28%,1,55%,68%,78%,74,91
10003022,Hereford College of Arts,Scale08,4%,4%,16%,37%,39%,1,63%,76%,85%,75,91
10003022,Hereford College of Arts,Q26,8%,11%,33%,29%,19%,2,36%,48%,60%,73,91
10003022,Hereford College of Arts,Q27,5%,5%,5%,33%,51%,0,73%,84%,91%,75,91
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q01,5%,0%,2%,55%,39%,0,80%,93%,98%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q02,2%,2%,7%,50%,39%,0,74%,89%,95%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q03,0%,2%,5%,39%,55%,0,80%,93%,98%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q04,0%,0%,9%,28%,63%,1,77%,91%,97%,43,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Scale01,2%,2%,6%,43%,48%,1,77%,91%,97%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q05,2%,2%,5%,41%,50%,0,77%,91%,97%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q06,0%,5%,7%,40%,49%,1,74%,88%,95%,43,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q07,2%,2%,5%,39%,52%,0,77%,91%,97%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Scale02,2%,3%,5%,40%,50%,1,76%,90%,96%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q08,2%,5%,7%,39%,48%,0,72%,86%,94%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q09,0%,9%,7%,27%,57%,0,69%,84%,93%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q10,0%,11%,5%,36%,48%,0,69%,84%,93%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q11,2%,0%,7%,45%,45%,0,77%,91%,97%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Scale03,1%,6%,6%,37%,49%,0,72%,86%,94%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q12,5%,7%,5%,41%,43%,0,69%,84%,93%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q13,7%,2%,7%,45%,39%,0,69%,84%,93%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q14,5%,2%,7%,43%,43%,2,70%,86%,94%,42,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Scale04,6%,4%,6%,43%,41%,2,69%,84%,93%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q15,2%,11%,23%,39%,25%,0,47%,64%,77%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q16,5%,0%,9%,43%,43%,0,72%,86%,94%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q17,0%,5%,20%,41%,34%,0,59%,75%,86%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Scale05,2%,5%,17%,41%,34%,0,59%,75%,86%,44,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q18,2%,12%,28%,28%,30%,1,42%,58%,73%,43,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q19,5%,5%,12%,41%,37%,3,62%,78%,89%,41,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Q20,5%,5%,16%,40%,35%,1,58%,74%,86%,43,56
10003023,"Herefordshire, Ludlow, and North Shropshire College",Scale06,4%,7%,19%,37%,34%,5,54%,70%,83%,44,56
