2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10067853,ACM Guildford Limited,Q18,6%,12%,17%,44%,22%,5,60%,66%,71%,301,498,
10067853,ACM Guildford Limited,Q19,8%,11%,24%,39%,18%,14,51%,57%,63%,292,498,
10067853,ACM Guildford Limited,Q20,5%,11%,18%,44%,22%,1,59%,65%,71%,305,498,
10067853,ACM Guildford Limited,Scale06,6%,11%,20%,43%,20%,20,57%,63%,69%,305,498,
10067853,ACM Guildford Limited,Q21,7%,13%,16%,44%,21%,4,58%,64%,70%,302,498,
10067853,ACM Guildford Limited,Q22,2%,8%,11%,45%,35%,1,74%,80%,84%,305,498,
10067853,ACM Guildford Limited,Scale07,4%,10%,13%,44%,28%,5,66%,72%,77%,305,498,
10067853,ACM Guildford Limited,Q23,4%,11%,16%,44%,24%,1,62%,68%,74%,305,498,
10067853,ACM Guildford Limited,Q24,6%,7%,19%,43%,25%,2,62%,68%,73%,304,498,
10067853,ACM Guildford Limited,Q25,9%,17%,20%,42%,13%,5,49%,55%,61%,301,498,
10067853,ACM Guildford Limited,Scale08,6%,12%,19%,43%,20%,8,57%,64%,69%,305,498,
10067853,ACM Guildford Limited,Q26,10%,14%,34%,31%,10%,26,35%,41%,48%,280,498,
10067853,ACM Guildford Limited,Q27,9%,14%,18%,50%,9%,2,52%,58%,64%,304,498,
10004927,Activate Learning,Q01,2%,9%,8%,45%,35%,0,70%,80%,88%,97,148,
10004927,Activate Learning,Q02,3%,5%,13%,43%,35%,0,68%,78%,86%,97,148,
10004927,Activate Learning,Q03,4%,6%,18%,28%,44%,0,61%,72%,81%,97,148,
10004927,Activate Learning,Q04,1%,11%,13%,39%,35%,0,64%,74%,83%,97,148,
10004927,Activate Learning,Scale01,3%,8%,13%,39%,37%,0,66%,76%,84%,97,148,
10004927,Activate Learning,Q05,1%,7%,12%,38%,41%,0,69%,79%,87%,97,148,
10004927,Activate Learning,Q06,2%,5%,11%,44%,37%,0,72%,81%,88%,97,148,
10004927,Activate Learning,Q07,1%,5%,10%,37%,46%,0,74%,84%,90%,97,148,
10004927,Activate Learning,Scale02,1%,6%,11%,40%,42%,0,72%,81%,88%,97,148,
10004927,Activate Learning,Q08,5%,9%,13%,40%,32%,0,61%,72%,81%,97,148,
10004927,Activate Learning,Q09,5%,7%,14%,45%,28%,0,63%,73%,82%,97,148,
10004927,Activate Learning,Q10,6%,10%,9%,34%,40%,0,64%,74%,83%,97,148,
10004927,Activate Learning,Q11,1%,10%,14%,35%,39%,0,64%,74%,83%,97,148,
10004927,Activate Learning,Scale03,4%,9%,13%,39%,35%,0,63%,73%,82%,97,148,
10004927,Activate Learning,Q12,3%,7%,14%,33%,43%,1,66%,76%,84%,96,148,
10004927,Activate Learning,Q13,8%,5%,16%,34%,36%,1,60%,71%,80%,96,148,
10004927,Activate Learning,Q14,2%,5%,23%,31%,39%,1,59%,70%,79%,96,148,
10004927,Activate Learning,Scale04,5%,6%,17%,33%,39%,3,61%,72%,81%,97,148,
10004927,Activate Learning,Q15,15%,14%,11%,33%,26%,0,48%,59%,69%,97,148,
10004927,Activate Learning,Q16,9%,7%,12%,38%,33%,0,60%,71%,80%,97,148,
10004927,Activate Learning,Q17,7%,5%,19%,40%,28%,2,57%,68%,78%,95,148,
10004927,Activate Learning,Scale05,11%,9%,14%,37%,29%,2,55%,66%,75%,97,148,
10004927,Activate Learning,Q18,10%,13%,11%,45%,20%,0,54%,65%,75%,97,148,
10004927,Activate Learning,Q19,4%,8%,14%,36%,38%,1,63%,74%,82%,96,148,
10004927,Activate Learning,Q20,3%,6%,14%,46%,31%,1,67%,77%,85%,96,148,
10004927,Activate Learning,Scale06,6%,9%,13%,43%,30%,2,61%,72%,81%,97,148,
10004927,Activate Learning,Q21,8%,9%,20%,38%,25%,1,51%,63%,72%,96,148,
10004927,Activate Learning,Q22,2%,3%,7%,47%,40%,2,78%,87%,93%,95,148,
10004927,Activate Learning,Scale07,5%,6%,14%,42%,32%,3,64%,74%,83%,96,148,
10004927,Activate Learning,Q23,2%,6%,18%,39%,35%,0,64%,74%,83%,97,148,
10004927,Activate Learning,Q24,9%,10%,15%,32%,33%,0,54%,65%,75%,97,148,
10004927,Activate Learning,Q25,11%,15%,24%,28%,22%,0,39%,49%,60%,97,148,
10004927,Activate Learning,Scale08,8%,11%,19%,33%,30%,0,52%,63%,73%,97,148,
10004927,Activate Learning,Q26,13%,5%,44%,22%,17%,19,27%,38%,51%,78,148,
10004927,Activate Learning,Q27,9%,13%,13%,26%,38%,0,53%,64%,74%,97,148,
10000163,AECC University College,Q01,0%,6%,6%,75%,14%,0,73%,89%,96%,36,56,
10000163,AECC University College,Q02,0%,3%,6%,78%,14%,0,76%,92%,97%,36,56,
10000163,AECC University College,Q03,0%,0%,0%,42%,58%,0,88%,100%,100%,36,56,
10000163,AECC University College,Q04,3%,6%,14%,28%,50%,0,60%,78%,89%,36,56,
10000163,AECC University College,Scale01,1%,3%,6%,56%,34%,0,74%,90%,96%,36,56,
10000163,AECC University College,Q05,0%,11%,17%,42%,31%,0,54%,72%,85%,36,56,
10000163,AECC University College,Q06,0%,3%,6%,53%,39%,0,76%,92%,97%,36,56,
10000163,AECC University College,Q07,0%,0%,6%,42%,53%,0,80%,94%,99%,36,56,
10000163,AECC University College,Scale02,0%,5%,9%,45%,41%,0,69%,86%,94%,36,56,
10000163,AECC University College,Q08,8%,14%,14%,42%,22%,0,46%,64%,79%,36,56,
10000163,AECC University College,Q09,8%,17%,25%,39%,11%,0,33%,50%,67%,36,56,
10000163,AECC University College,Q10,14%,31%,22%,25%,8%,0,19%,33%,51%,36,56,
10000163,AECC University College,Q11,8%,22%,19%,42%,8%,0,33%,50%,67%,36,56,
10000163,AECC University College,Scale03,10%,21%,20%,37%,13%,0,32%,49%,66%,36,56,
10000163,AECC University College,Q12,3%,8%,22%,33%,33%,0,49%,67%,81%,36,56,
10000163,AECC University College,Q13,0%,19%,19%,44%,17%,0,43%,61%,76%,36,56,
10000163,AECC University College,Q14,0%,12%,26%,47%,15%,2,43%,62%,77%,34,56,
10000163,AECC University College,Scale04,1%,13%,23%,42%,22%,2,45%,63%,78%,36,56,
10000163,AECC University College,Q15,23%,23%,29%,26%,0%,1,13%,26%,44%,35,56,
10000163,AECC University College,Q16,44%,14%,25%,14%,3%,0,7%,17%,34%,36,56,
10000163,AECC University College,Q17,28%,31%,31%,8%,3%,0,4%,11%,27%,36,56,
10000163,AECC University College,Scale05,32%,22%,28%,16%,2%,1,8%,18%,35%,36,56,
10000163,AECC University College,Q18,3%,3%,17%,67%,11%,0,60%,78%,89%,36,56,
10000163,AECC University College,Q19,0%,3%,0%,53%,44%,0,84%,97%,100%,36,56,
10000163,AECC University College,Q20,0%,0%,3%,72%,25%,0,84%,97%,100%,36,56,
10000163,AECC University College,Scale06,1%,2%,6%,64%,27%,0,75%,91%,97%,36,56,
10000163,AECC University College,Q21,3%,0%,14%,53%,31%,0,66%,83%,93%,36,56,
10000163,AECC University College,Q22,3%,0%,3%,56%,39%,0,80%,94%,99%,36,56,
10000163,AECC University College,Scale07,3%,0%,8%,54%,35%,0,73%,89%,96%,36,56,
10000163,AECC University College,Q23,3%,6%,17%,42%,33%,0,57%,75%,87%,36,56,
10000163,AECC University College,Q24,11%,3%,31%,51%,3%,1,37%,54%,71%,35,56,
10000163,AECC University College,Q25,19%,14%,28%,31%,8%,0,24%,39%,57%,36,56,
10000163,AECC University College,Scale08,11%,8%,25%,41%,15%,1,38%,56%,72%,36,56,
10000163,AECC University College,Q26,6%,3%,6%,64%,22%,0,69%,86%,94%,36,56,
10000163,AECC University College,Q27,0%,11%,14%,47%,28%,0,57%,75%,87%,36,56,
10000216,All Nations Christian College Limited,Q01,0%,0%,0%,30%,70%,0,68%,100%,100%,10,20,
10000216,All Nations Christian College Limited,Q02,0%,0%,0%,20%,80%,0,68%,100%,100%,10,20,
10000216,All Nations Christian College Limited,Q03,0%,0%,10%,10%,80%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q04,0%,0%,10%,20%,70%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Scale01,0%,0%,5%,20%,75%,0,62%,95%,100%,10,20,
10000216,All Nations Christian College Limited,Q05,0%,0%,0%,30%,70%,0,68%,100%,100%,10,20,
10000216,All Nations Christian College Limited,Q06,0%,0%,0%,40%,60%,0,68%,100%,100%,10,20,
10000216,All Nations Christian College Limited,Q07,0%,0%,10%,0%,90%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Scale02,0%,0%,3%,23%,73%,0,64%,97%,100%,10,20,
10000216,All Nations Christian College Limited,Q08,0%,0%,10%,30%,60%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q09,0%,0%,10%,20%,70%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q10,0%,10%,10%,40%,40%,0,46%,80%,95%,10,20,
10000216,All Nations Christian College Limited,Q11,0%,0%,0%,40%,60%,0,68%,100%,100%,10,20,
10000216,All Nations Christian College Limited,Scale03,0%,3%,8%,33%,58%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q12,0%,0%,10%,0%,90%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q13,0%,0%,10%,10%,80%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q14,0%,0%,10%,20%,70%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Scale04,0%,0%,10%,10%,80%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q15,0%,0%,10%,30%,60%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q16,0%,0%,10%,40%,50%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q17,0%,0%,11%,33%,56%,1,53%,89%,98%,9,20,
10000216,All Nations Christian College Limited,Scale05,0%,0%,10%,33%,57%,1,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q18,0%,0%,10%,20%,70%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q19,0%,0%,0%,20%,80%,0,68%,100%,100%,10,20,
10000216,All Nations Christian College Limited,Q20,0%,0%,10%,30%,60%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Scale06,0%,0%,7%,23%,70%,0,60%,93%,99%,10,20,
10000216,All Nations Christian College Limited,Q21,0%,0%,10%,10%,80%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q22,0%,0%,0%,30%,70%,0,68%,100%,100%,10,20,
10000216,All Nations Christian College Limited,Scale07,0%,0%,5%,20%,75%,0,62%,95%,100%,10,20,
10000216,All Nations Christian College Limited,Q23,0%,0%,10%,10%,80%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q24,0%,0%,10%,10%,80%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q25,10%,0%,0%,20%,70%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Scale08,3%,0%,7%,13%,77%,0,56%,90%,98%,10,20,
10000216,All Nations Christian College Limited,Q26,13%,0%,25%,25%,38%,2,28%,63%,88%,8,20,
10000216,All Nations Christian College Limited,Q27,0%,0%,10%,10%,80%,0,56%,90%,98%,10,20,
10000248,ALRA,Q01,0%,0%,0%,31%,69%,0,92%,100%,100%,54,59,
10000248,ALRA,Q02,0%,0%,2%,15%,83%,0,89%,98%,100%,54,59,
10000248,ALRA,Q03,0%,2%,6%,17%,76%,0,81%,93%,97%,54,59,
10000248,ALRA,Q04,0%,2%,2%,20%,76%,0,86%,96%,99%,54,59,
10000248,ALRA,Scale01,0%,1%,2%,21%,76%,0,87%,97%,99%,54,59,
10000248,ALRA,Q05,0%,2%,4%,13%,81%,0,83%,94%,98%,54,59,
10000248,ALRA,Q06,0%,2%,0%,13%,85%,0,89%,98%,100%,54,59,
10000248,ALRA,Q07,0%,2%,6%,19%,74%,0,81%,93%,97%,54,59,
10000248,ALRA,Scale02,0%,2%,3%,15%,80%,0,84%,95%,99%,54,59,
10000248,ALRA,Q08,2%,7%,15%,30%,46%,0,62%,76%,86%,54,59,
10000248,ALRA,Q09,0%,7%,4%,43%,46%,0,76%,89%,95%,54,59,
10000248,ALRA,Q10,4%,4%,6%,30%,57%,0,74%,87%,94%,54,59,
10000248,ALRA,Q11,0%,2%,6%,35%,57%,0,81%,93%,97%,54,59,
10000248,ALRA,Scale03,1%,5%,7%,34%,52%,0,73%,86%,93%,54,59,
10000248,ALRA,Q12,0%,2%,0%,17%,81%,0,89%,98%,100%,54,59,
10000248,ALRA,Q13,0%,4%,2%,24%,70%,0,83%,94%,98%,54,59,
10000248,ALRA,Q14,0%,4%,2%,22%,72%,0,83%,94%,98%,54,59,
10000248,ALRA,Scale04,0%,3%,1%,21%,75%,0,85%,96%,99%,54,59,
10000248,ALRA,Q15,4%,4%,6%,39%,48%,0,74%,87%,94%,54,59,
10000248,ALRA,Q16,0%,0%,2%,17%,81%,0,89%,98%,100%,54,59,
10000248,ALRA,Q17,0%,0%,7%,31%,61%,0,81%,93%,97%,54,59,
10000248,ALRA,Scale05,1%,1%,5%,29%,64%,0,81%,93%,97%,54,59,
10000248,ALRA,Q18,2%,20%,11%,26%,41%,0,52%,67%,79%,54,59,
10000248,ALRA,Q19,4%,9%,13%,26%,48%,0,60%,74%,85%,54,59,
10000248,ALRA,Q20,0%,2%,2%,30%,67%,0,86%,96%,99%,54,59,
10000248,ALRA,Scale06,2%,10%,9%,27%,52%,0,65%,79%,88%,54,59,
10000248,ALRA,Q21,0%,0%,2%,20%,78%,0,89%,98%,100%,54,59,
10000248,ALRA,Q22,0%,0%,4%,11%,85%,0,86%,96%,99%,54,59,
10000248,ALRA,Scale07,0%,0%,3%,16%,81%,0,87%,97%,99%,54,59,
10000248,ALRA,Q23,0%,4%,4%,19%,74%,0,81%,93%,97%,54,59,
10000248,ALRA,Q24,0%,0%,6%,19%,76%,0,83%,94%,98%,54,59,
10000248,ALRA,Q25,0%,4%,2%,30%,65%,0,83%,94%,98%,54,59,
10000248,ALRA,Scale08,0%,2%,4%,22%,72%,0,83%,94%,98%,54,59,
10000248,ALRA,Q26,0%,2%,6%,34%,58%,1,81%,92%,97%,53,59,
10000248,ALRA,Q27,0%,0%,6%,13%,81%,0,83%,94%,98%,54,59,
10000291,Anglia Ruskin University Higher Corporation,Q01,1%,3%,7%,53%,35%,3,87%,88%,89%,3441,4547,
10000291,Anglia Ruskin University Higher Corporation,Q02,1%,4%,11%,51%,33%,5,83%,84%,85%,3439,4547,
10000291,Anglia Ruskin University Higher Corporation,Q03,1%,4%,9%,44%,42%,4,84%,86%,87%,3440,4547,
10000291,Anglia Ruskin University Higher Corporation,Q04,2%,4%,11%,39%,44%,3,81%,83%,84%,3441,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale01,2%,4%,9%,47%,38%,15,84%,85%,86%,3444,4547,
10000291,Anglia Ruskin University Higher Corporation,Q05,2%,4%,10%,41%,43%,6,83%,84%,85%,3438,4547,
10000291,Anglia Ruskin University Higher Corporation,Q06,1%,4%,10%,43%,43%,5,84%,86%,87%,3439,4547,
10000291,Anglia Ruskin University Higher Corporation,Q07,2%,5%,9%,39%,45%,4,83%,84%,85%,3440,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale02,2%,4%,10%,41%,44%,15,83%,85%,86%,3444,4547,
10000291,Anglia Ruskin University Higher Corporation,Q08,3%,6%,12%,41%,38%,3,77%,78%,80%,3441,4547,
10000291,Anglia Ruskin University Higher Corporation,Q09,4%,7%,15%,42%,32%,6,72%,74%,75%,3438,4547,
10000291,Anglia Ruskin University Higher Corporation,Q10,3%,5%,10%,40%,42%,7,80%,82%,83%,3437,4547,
10000291,Anglia Ruskin University Higher Corporation,Q11,3%,6%,12%,42%,37%,10,78%,79%,81%,3434,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale03,3%,6%,12%,41%,37%,26,77%,78%,80%,3444,4547,
10000291,Anglia Ruskin University Higher Corporation,Q12,2%,4%,8%,39%,47%,8,84%,86%,87%,3436,4547,
10000291,Anglia Ruskin University Higher Corporation,Q13,3%,6%,11%,43%,38%,5,79%,81%,82%,3439,4547,
10000291,Anglia Ruskin University Higher Corporation,Q14,3%,5%,14%,42%,36%,74,77%,78%,80%,3370,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale04,3%,5%,11%,41%,40%,87,80%,81%,83%,3443,4547,
10000291,Anglia Ruskin University Higher Corporation,Q15,6%,8%,14%,42%,30%,2,70%,72%,73%,3442,4547,
10000291,Anglia Ruskin University Higher Corporation,Q16,4%,7%,10%,39%,40%,4,77%,79%,80%,3440,4547,
10000291,Anglia Ruskin University Higher Corporation,Q17,4%,7%,11%,40%,37%,31,76%,78%,79%,3413,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale05,5%,7%,12%,40%,36%,37,74%,76%,78%,3444,4547,
10000291,Anglia Ruskin University Higher Corporation,Q18,2%,4%,11%,41%,42%,44,82%,84%,85%,3400,4547,
10000291,Anglia Ruskin University Higher Corporation,Q19,2%,3%,8%,38%,49%,22,86%,87%,88%,3422,4547,
10000291,Anglia Ruskin University Higher Corporation,Q20,2%,4%,9%,41%,44%,45,84%,85%,87%,3399,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale06,2%,4%,10%,40%,45%,111,84%,85%,87%,3443,4547,
10000291,Anglia Ruskin University Higher Corporation,Q21,5%,6%,18%,37%,33%,42,69%,70%,72%,3402,4547,
10000291,Anglia Ruskin University Higher Corporation,Q22,1%,3%,9%,43%,43%,29,85%,86%,88%,3415,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale07,3%,5%,14%,40%,38%,71,77%,78%,80%,3432,4547,
10000291,Anglia Ruskin University Higher Corporation,Q23,1%,3%,9%,42%,44%,20,85%,87%,88%,3424,4547,
10000291,Anglia Ruskin University Higher Corporation,Q24,4%,6%,13%,38%,40%,19,76%,77%,79%,3425,4547,
10000291,Anglia Ruskin University Higher Corporation,Q25,5%,8%,22%,35%,31%,39,64%,65%,67%,3405,4547,
10000291,Anglia Ruskin University Higher Corporation,Scale08,3%,6%,15%,38%,38%,78,75%,76%,78%,3436,4547,
10000291,Anglia Ruskin University Higher Corporation,Q26,4%,6%,29%,36%,25%,209,59%,61%,62%,3235,4547,
10000291,Anglia Ruskin University Higher Corporation,Q27,3%,5%,9%,43%,40%,12,81%,83%,84%,3432,4547,
10000291,Anglia Ruskin University Higher Corporation,NHS1,1%,4%,8%,44%,44%,0,84%,87%,90%,572,649,
10000291,Anglia Ruskin University Higher Corporation,NHS2,1%,3%,3%,37%,56%,0,90%,93%,95%,572,649,
10000291,Anglia Ruskin University Higher Corporation,NHS3,1%,3%,8%,40%,48%,1,85%,88%,91%,571,649,
10000291,Anglia Ruskin University Higher Corporation,NHS4,1%,1%,5%,41%,52%,0,91%,94%,95%,572,649,
10000291,Anglia Ruskin University Higher Corporation,NHS5,1%,1%,6%,40%,52%,2,89%,92%,94%,570,649,
10000291,Anglia Ruskin University Higher Corporation,NHS6,1%,3%,8%,42%,46%,2,85%,89%,91%,570,649,
10000291,Anglia Ruskin University Higher Corporation,ScaleNHS,1%,2%,6%,41%,50%,5,87%,90%,93%,572,649,
10008071,Architectural Association (Incorporated),Q01,0%,3%,13%,48%,37%,0,73%,85%,92%,71,99,
10008071,Architectural Association (Incorporated),Q02,0%,0%,10%,26%,64%,1,80%,90%,95%,70,99,
10008071,Architectural Association (Incorporated),Q03,1%,1%,3%,20%,75%,0,85%,94%,98%,71,99,
10008071,Architectural Association (Incorporated),Q04,1%,1%,10%,24%,63%,0,76%,87%,94%,71,99,
10008071,Architectural Association (Incorporated),Scale01,1%,2%,9%,29%,60%,1,78%,89%,95%,71,99,
10008071,Architectural Association (Incorporated),Q05,1%,1%,7%,30%,61%,0,80%,90%,95%,71,99,
10008071,Architectural Association (Incorporated),Q06,3%,0%,6%,32%,59%,0,82%,92%,96%,71,99,
10008071,Architectural Association (Incorporated),Q07,1%,4%,13%,41%,40%,1,69%,81%,89%,70,99,
10008071,Architectural Association (Incorporated),Scale02,2%,2%,8%,34%,54%,1,77%,88%,94%,71,99,
10008071,Architectural Association (Incorporated),Q08,7%,11%,24%,29%,29%,1,44%,57%,69%,70,99,
10008071,Architectural Association (Incorporated),Q09,1%,4%,21%,39%,34%,1,60%,73%,83%,70,99,
10008071,Architectural Association (Incorporated),Q10,0%,8%,18%,35%,38%,0,61%,73%,83%,71,99,
10008071,Architectural Association (Incorporated),Q11,0%,3%,13%,44%,41%,0,73%,85%,92%,71,99,
10008071,Architectural Association (Incorporated),Scale03,2%,7%,19%,37%,36%,2,60%,72%,82%,71,99,
10008071,Architectural Association (Incorporated),Q12,3%,1%,13%,41%,42%,0,71%,83%,91%,71,99,
10008071,Architectural Association (Incorporated),Q13,1%,3%,17%,42%,37%,0,67%,79%,87%,71,99,
10008071,Architectural Association (Incorporated),Q14,4%,8%,21%,27%,39%,0,53%,66%,77%,71,99,
10008071,Architectural Association (Incorporated),Scale04,3%,4%,17%,37%,39%,0,64%,76%,85%,71,99,
10008071,Architectural Association (Incorporated),Q15,1%,10%,32%,30%,27%,0,44%,56%,68%,71,99,
10008071,Architectural Association (Incorporated),Q16,3%,8%,21%,32%,35%,0,55%,68%,78%,71,99,
10008071,Architectural Association (Incorporated),Q17,0%,10%,23%,35%,32%,2,54%,67%,78%,69,99,
10008071,Architectural Association (Incorporated),Scale05,1%,9%,26%,32%,31%,2,51%,63%,75%,71,99,
10008071,Architectural Association (Incorporated),Q18,8%,13%,18%,35%,25%,0,48%,61%,72%,71,99,
10008071,Architectural Association (Incorporated),Q19,0%,0%,7%,36%,57%,1,83%,93%,97%,70,99,
10008071,Architectural Association (Incorporated),Q20,3%,10%,15%,32%,39%,0,59%,72%,82%,71,99,
10008071,Architectural Association (Incorporated),Scale06,4%,8%,14%,35%,40%,1,63%,75%,84%,71,99,
10008071,Architectural Association (Incorporated),Q21,0%,6%,13%,23%,58%,2,69%,81%,89%,69,99,
10008071,Architectural Association (Incorporated),Q22,1%,4%,13%,33%,48%,2,69%,81%,89%,69,99,
10008071,Architectural Association (Incorporated),Scale07,1%,5%,13%,28%,53%,4,69%,81%,89%,69,99,
10008071,Architectural Association (Incorporated),Q23,1%,7%,17%,30%,44%,1,62%,74%,84%,70,99,
10008071,Architectural Association (Incorporated),Q24,4%,6%,22%,29%,39%,2,55%,68%,79%,69,99,
10008071,Architectural Association (Incorporated),Q25,3%,10%,28%,28%,32%,2,46%,59%,71%,69,99,
10008071,Architectural Association (Incorporated),Scale08,3%,8%,22%,30%,38%,5,55%,68%,78%,70,99,
10008071,Architectural Association (Incorporated),Q26,13%,9%,27%,16%,34%,4,38%,51%,64%,67,99,
10008071,Architectural Association (Incorporated),Q27,1%,1%,10%,37%,50%,1,76%,87%,94%,70,99,
10005451,Arden University Limited,Q01,3%,5%,13%,48%,31%,3,70%,79%,86%,133,243,
10005451,Arden University Limited,Q02,2%,8%,17%,46%,27%,4,64%,73%,81%,132,243,
10005451,Arden University Limited,Q03,2%,3%,7%,51%,37%,0,80%,88%,92%,136,243,
10005451,Arden University Limited,Q04,3%,1%,8%,46%,42%,1,81%,88%,93%,135,243,
10005451,Arden University Limited,Scale01,3%,4%,11%,48%,34%,8,74%,82%,88%,136,243,
10005451,Arden University Limited,Q05,4%,5%,7%,39%,44%,1,76%,84%,89%,135,243,
10005451,Arden University Limited,Q06,2%,3%,7%,42%,46%,0,81%,88%,93%,136,243,
10005451,Arden University Limited,Q07,4%,5%,10%,41%,40%,0,73%,82%,88%,136,243,
10005451,Arden University Limited,Scale02,3%,4%,8%,41%,44%,1,77%,85%,90%,136,243,
10005451,Arden University Limited,Q08,4%,7%,13%,35%,43%,0,69%,77%,84%,136,243,
10005451,Arden University Limited,Q09,4%,9%,11%,45%,31%,0,67%,76%,83%,136,243,
10005451,Arden University Limited,Q10,5%,6%,19%,37%,33%,0,61%,70%,78%,136,243,
10005451,Arden University Limited,Q11,4%,7%,10%,43%,36%,0,71%,79%,86%,136,243,
10005451,Arden University Limited,Scale03,4%,7%,13%,40%,36%,0,67%,76%,83%,136,243,
10005451,Arden University Limited,Q12,7%,7%,8%,38%,41%,0,70%,79%,85%,136,243,
10005451,Arden University Limited,Q13,4%,12%,13%,36%,36%,0,63%,72%,80%,136,243,
10005451,Arden University Limited,Q14,5%,8%,17%,39%,32%,4,62%,71%,79%,132,243,
10005451,Arden University Limited,Scale04,5%,9%,12%,38%,36%,4,65%,74%,81%,136,243,
10005451,Arden University Limited,Q15,7%,6%,11%,45%,31%,0,67%,76%,83%,136,243,
10005451,Arden University Limited,Q16,4%,7%,12%,44%,33%,1,69%,78%,85%,135,243,
10005451,Arden University Limited,Q17,4%,7%,9%,40%,40%,11,71%,80%,87%,125,243,
10005451,Arden University Limited,Scale05,5%,7%,12%,43%,34%,12,68%,77%,84%,136,243,
10005451,Arden University Limited,Q18,4%,10%,19%,44%,23%,3,58%,68%,76%,133,243,
10005451,Arden University Limited,Q19,9%,17%,18%,33%,23%,5,46%,56%,65%,131,243,
10005451,Arden University Limited,Q20,3%,13%,20%,39%,25%,8,55%,64%,73%,128,243,
10005451,Arden University Limited,Scale06,5%,14%,19%,39%,23%,16,53%,62%,70%,135,243,
10005451,Arden University Limited,Q21,14%,14%,15%,42%,15%,5,48%,57%,66%,131,243,
10005451,Arden University Limited,Q22,11%,18%,10%,36%,25%,11,51%,61%,70%,125,243,
10005451,Arden University Limited,Scale07,13%,16%,13%,39%,19%,16,49%,58%,67%,132,243,
10005451,Arden University Limited,Q23,4%,7%,13%,46%,29%,2,67%,75%,83%,134,243,
10005451,Arden University Limited,Q24,4%,8%,24%,37%,27%,5,55%,65%,73%,131,243,
10005451,Arden University Limited,Q25,6%,13%,24%,35%,21%,9,46%,56%,65%,127,243,
10005451,Arden University Limited,Scale08,5%,10%,21%,39%,26%,16,55%,65%,73%,134,243,
10005451,Arden University Limited,Q26,3%,8%,33%,36%,20%,17,46%,56%,66%,119,243,
10005451,Arden University Limited,Q27,7%,4%,11%,44%,35%,1,70%,79%,85%,135,243,
10000381,Arts Educational Schools(The),Q01,0%,0%,3%,26%,70%,0,88%,97%,99%,61,73,
10000381,Arts Educational Schools(The),Q02,0%,0%,3%,21%,75%,0,88%,97%,99%,61,73,
10000381,Arts Educational Schools(The),Q03,0%,2%,2%,30%,67%,0,88%,97%,99%,61,73,
10000381,Arts Educational Schools(The),Q04,0%,2%,3%,21%,74%,0,85%,95%,98%,61,73,
10000381,Arts Educational Schools(The),Scale01,0%,1%,3%,25%,72%,0,87%,96%,99%,61,73,
10000381,Arts Educational Schools(The),Q05,0%,0%,7%,21%,72%,0,83%,93%,98%,61,73,
10000381,Arts Educational Schools(The),Q06,0%,0%,2%,26%,72%,0,90%,98%,100%,61,73,
10000381,Arts Educational Schools(The),Q07,0%,0%,0%,18%,82%,0,93%,100%,100%,61,73,
10000381,Arts Educational Schools(The),Scale02,0%,0%,3%,22%,75%,0,88%,97%,99%,61,73,
10000381,Arts Educational Schools(The),Q08,0%,2%,7%,37%,55%,1,81%,92%,97%,60,73,
10000381,Arts Educational Schools(The),Q09,2%,5%,13%,30%,50%,1,67%,80%,89%,60,73,
10000381,Arts Educational Schools(The),Q10,0%,5%,10%,36%,49%,0,73%,85%,93%,61,73,
10000381,Arts Educational Schools(The),Q11,0%,0%,7%,30%,64%,0,83%,93%,98%,61,73,
